per:charges ['per:sentence', 'per:allegations', 'per:indictment', 'per:offense', 'per:conviction', 'org:top_members/employees']
per:date_of_death ['per:age', 'per:country_of_birth', 'no_relation', 'per:cause_of_death', 'per:city_of_death', 'per:date_of_birth']
per:country_of_death ['per:city_of_death', 'per:stateorprovince_of_death', 'per:origin', 'per:date_of_death', 'no_relation', 'per:stateorprovinces_of_residence']
per:cause_of_death ['per:age', 'per:origin', 'per:date_of_birth', 'per:city_of_death', 'per:stateorprovince_of_death', 'per:country_of_death']
org:founded_by ['org:shareholders', 'per:other_family', 'no_relation', 'org:political/religious_affiliation', 'org:number_of_employees/members', 'per:charges']
org:founded ['no_relation', 'org:stateorprovince_of_branch', 'org:country_of_branch', 'org:number_of_employees/members', 'org:top_members/employees', 'org:members']
per:city_of_death ['no_relation', 'per:country_of_death', 'per:city_of_birth', 'per:date_of_birth', 'per:date_of_death', 'per:origin']
per:stateorprovince_of_death ['per:city_of_death', 'per:country_of_death', 'per:date_of_death', 'per:city_of_birth', 'per:stateorprovince_of_birth', 'no_relation']
per:date_of_birth ['no_relation', 'per:country_of_birth', 'per:stateorprovince_of_birth', 'per:city_of_birth', 'per:date_of_death', 'per:origin']
per:stateorprovince_of_birth ['per:city_of_birth', 'per:stateorprovinces_of_residence', 'per:origin', 'per:date_of_birth', 'per:country_of_birth', 'per:date_of_death']
per:country_of_birth ['per:stateorprovince_of_birth', 'per:city_of_birth', 'per:date_of_birth', 'per:stateorprovinces_of_residence', 'per:origin', 'per:city_of_death']
per:city_of_birth ['per:stateorprovince_of_birth', 'per:date_of_birth', 'per:country_of_birth', 'per:stateorprovinces_of_residence', 'per:origin', 'no_relation']
org:shareholders ['no_relation', 'org:founded_by', 'org:political/religious_affiliation', 'org:number_of_employees/members', 'org:top_members/employees', 'org:dissolved']
per:other_family ['per:siblings', 'per:spouse', 'no_relation', 'per:children', 'per:employee_of', 'per:city_of_birth']
per:title ['org:top_members/employees', 'org:political/religious_affiliation', 'no_relation', 'per:charges', 'org:shareholders', 'per:other_family']
org:dissolved ['org:city_of_branch', 'org:stateorprovince_of_branch', 'org:country_of_branch', 'no_relation', 'org:top_members/employees', 'org:members']
per:countries_of_residence ['per:stateorprovinces_of_residence', 'per:cities_of_residence', 'per:origin', 'per:country_of_birth', 'per:country_of_death', 'org:founded']
per:stateorprovinces_of_residence ['per:countries_of_residence', 'per:cities_of_residence', 'per:origin', 'per:stateorprovince_of_birth', 'per:stateorprovince_of_death', 'org:founded']
per:cities_of_residence ['no_relation', 'per:stateorprovinces_of_residence', 'per:origin', 'per:city_of_birth', 'per:city_of_death', 'org:founded']
org:member_of ['org:political/religious_affiliation', 'org:shareholders', 'org:top_members/employees', 'org:members', 'org:number_of_employees/members', 'org:founded_by']
per:religion ['org:political/religious_affiliation', 'per:origin', 'no_relation', 'org:member_of', 'org:shareholders', 'per:title']
org:political/religious_affiliation ['per:religion', 'org:member_of', 'org:shareholders', 'per:title', 'per:employee_of', 'org:top_members/employees']
org:top_members/employees ['per:title', 'per:employee_of', 'per:other_family', 'org:member_of', 'org:shareholders', 'no_relation']
org:number_of_employees/members ['org:shareholders', 'org:members', 'org:political/religious_affiliation', 'org:founded_by', 'no_relation', 'org:dissolved']
per:schools_attended ['org:member_of', 'per:employee_of', 'per:charges', 'per:other_family', 'per:city_of_birth', 'no_relation']
per:employee_of ['no_relation', 'per:schools_attended', 'per:title', 'org:top_members/employees', 'org:political/religious_affiliation', 'org:member_of']
per:siblings ['per:other_family', 'per:spouse', 'per:parents', 'no_relation', 'per:employee_of', 'per:city_of_birth']
per:spouse ['per:other_family', 'per:siblings', 'per:parents', 'per:children', 'no_relation', 'per:city_of_birth']
per:parents ['per:other_family', 'per:siblings', 'per:spouse', 'per:children', 'per:employee_of', 'per:city_of_birth']
per:children ['per:other_family', 'no_relation', 'per:spouse', 'per:parents', 'per:employee_of', 'per:city_of_birth']
org:alternate_names ['org:members', 'org:shareholders', 'org:number_of_employees/members', 'org:top_members/employees', 'org:dissolved', 'org:founded_by']
org:members ['org:shareholders', 'org:number_of_employees/members', 'no_relation', 'org:dissolved', 'org:political/religious_affiliation', 'org:founded_by']
per:origin ['per:religion', 'org:political/religious_affiliation', 'org:member_of', 'org:shareholders', 'no_relation', 'org:number_of_employees/members']
org:website ['no_relation', 'org:shareholders', 'org:top_members/employees', 'org:number_of_employees/members', 'org:dissolved', 'org:founded_by']
per:age ['per:countries_of_residence', 'per:stateorprovinces_of_residence', 'per:cities_of_residence', 'per:origin', 'no_relation', 'per:country_of_death']
no_relation ['org:political/religious_affiliation', 'org:member_of', 'org:shareholders', 'per:title', 'per:employee_of', 'org:top_members/employees']
per:identity ['per:other_family', 'per:spouse', 'no_relation', 'per:children', 'per:employee_of', 'per:city_of_birth']
org:stateorprovince_of_branch ['org:city_of_branch', 'org:country_of_branch', 'org:number_of_employees/members', 'org:top_members/employees', 'org:members', 'org:dissolved']
org:country_of_branch ['org:city_of_branch', 'org:stateorprovince_of_branch', 'org:number_of_employees/members', 'org:top_members/employees', 'org:members', 'org:dissolved']
org:city_of_branch ['org:stateorprovince_of_branch', 'org:country_of_branch', 'org:number_of_employees/members', 'org:top_members/employees', 'no_relation', 'org:dissolved']
